"site_number","stock_cycle","cycle_has_unexplained_drop","n_flags"
"FS0015",1,TRUE,4
"FS0015",2,TRUE,4
"FS0015",3,TRUE,5
"FS0015",4,TRUE,4
"FS0015",5,TRUE,4
"FS0015",6,TRUE,1
"FS0015",7,TRUE,3
"FS0015",8,TRUE,3
"FS0015",9,TRUE,4
"FS0015",10,TRUE,5
"FS0015",11,TRUE,1
"FS0015",12,TRUE,3
"FS0015",13,FALSE,0
"FS0016",0,FALSE,0
"FS0016",1,TRUE,3
"FS0016",2,TRUE,1
"FS0016",3,TRUE,5
"FS0016",4,TRUE,4
"FS0016",5,TRUE,2
"FS0016",6,TRUE,3
"FS0016",7,TRUE,2
"FS0016",8,TRUE,3
"FS0016",9,TRUE,4
"FS0016",10,TRUE,4
"FS0016",11,TRUE,4
"FS0016",12,TRUE,3
"FS0016",13,FALSE,0
"FS0031",1,TRUE,13
"FS0031",2,TRUE,2
"FS0031",3,TRUE,2
"FS0031",4,TRUE,1
"FS0031",5,TRUE,2
"FS0031",6,TRUE,1
"FS0031",7,TRUE,1
"FS0031",8,TRUE,2
"FS0031",9,TRUE,1
"FS0032",0,FALSE,0
"FS0039",1,FALSE,0
"FS0039",2,TRUE,2
"FS0039",3,TRUE,2
"FS0039",4,TRUE,1
"FS0039",5,TRUE,1
"FS0039",6,TRUE,4
"FS0039",7,TRUE,1
"FS0039",8,TRUE,1
"FS0050",1,TRUE,3
"FS0050",2,TRUE,3
"FS0050",3,TRUE,2
"FS0050",4,TRUE,2
"FS0050",5,TRUE,3
"FS0050",6,TRUE,1
"FS0050",7,TRUE,2
"FS0050",8,TRUE,4
"FS0050",9,TRUE,1
"FS0050",10,TRUE,4
"FS0050",11,TRUE,1
"FS0051",1,TRUE,4
"FS0051",2,TRUE,13
"FS0051",3,TRUE,3
"FS0051",4,TRUE,1
"FS0054",1,TRUE,1
"FS0054",2,TRUE,2
"FS0054",3,TRUE,3
"FS0054",4,TRUE,3
"FS0054",5,TRUE,1
"FS0054",6,TRUE,1
"FS0054",7,TRUE,2
"FS0054",8,TRUE,2
"FS0054",9,TRUE,1
"FS0054",10,TRUE,2
"FS0054",11,TRUE,2
"FS0054",12,TRUE,3
"FS0056",1,TRUE,19
