"site_number","n_licences","licences"
"FS0011",3,"CAR/L/1004843; WPC/N/72349; WPC/N/60930"
"FS0015",3,"CAR/L/1002890; WPC/N/70129(01); WPC/N/70129"
"FS0016",3,"CAR/L/1002327; WPC/N/62119(01); WPC/N/62119"
"FS0031",2,"CAR/L/1003961; COPA11/FF/87/10"
"FS0039",2,"CAR/L/1001790; WPC/N/61927"
"FS0050",2,"CAR/L/1004153; WPC/N/70010"
"FS0051",3,"RP2/6D/93/131; CAR/L/1002942; RP2/60/93/131"
"FS0054",2,"CAR/L/1003960; COPA11/FF/87/18"
"FS0056",2,"CAR/L/1003889; WPC/N/61650"
"FS0057",2,"CAR/L/1001809; WPC/N/61649"
"FS0065",4,"CAR/L/1003894; CAR/L/1003893; WPC/N/61546(02); WPC/N/61547(02)"
"FS0067",4,"CAR/L/1001812; CAR/L/1001808; WPC/N/61568; WPC/N/61569"
"FS0068",8,"CAR/L/1003895; CAR/L/1003896; CAR/L/1003897; CAR/L/1001939; WPC/N/61548(01); WPC/N/61566(01); WPC/N/61565(01); T/B13/098/97"
"FS0071",3,"CAR/L/1004200; WPC/N/70299; WPC/N/61967(01)"
"FS0072",2,"CAR/L/1003904; WPC/N/60884(01)"
"FS0074",4,"CAR/L/1003877; WPC/N/61966(03); WPC/N/61966(02); WPC/N/61966(01)"
"FS0077",3,"CAR/L/1002990; WPC/N/70472(02); WPC/N/70472"
"FS0087",2,"CAR/L/1018490; WPC/N/62050(01)"
"FS0088",3,"CAR/L/1004036; WPC/N/72030; WPC/N/62049(01)"
"FS0091",3,"CAR/L/1015860; WPC/W/30724; WPC/W/22142"
"FS0108",2,"CAR/L/1002894; WPC/N/70122"
"FS0122",2,"CAR/L/1003953; WPC/N/58990(01)"
"FS0125",2,"CAR/L/1003477; WPC/W/22774/R1"
"FS0139",3,"CAR/L/1004207; WPC/N/70360; WPC/N/62074(02)"
"FS0140",2,"CAR/L/1004044; WPC/N/62072(01)"
"FS0154",3,"CAR/L/1015830; WPC/N/70332; WPC/N/60984"
"FS0156",2,"CAR/L/1015828; WPC/N/71294"
"FS0158",2,"CAR/L/1001783; WPC/N/61998"
"FS0159",5,"CAR/L/1001967; CAR/L/1002358; WPC/N/59186; WPC/N/62347; WPC/N/62346"
"FS0163",2,"CAR/L/1015833; WPC/N/62332"
"FS0166",3,"CAR/L/1004032; WPC/N/72031; WPC/N/62035(01)"
"FS0173",3,"CAR/L/1004196; WPC/N/70273; WPC/N/61625"
"FS0178",2,"CAR/L/1010725; WPC/N/58989(01)"
"FS0183",2,"CAR/L/1003943; WPC/N/59174(01)"
"FS0208",4,"CAR/L/1002357; WPC/N/62343(02); WPC/N/62343(01); WPC/N/62343"
"FS0209",2,"CAR/L/1010606; WPC/W/30360"
"FS0212",4,"CAR/L/1009162; WPC/N/73180; WPC/N/61386(01); WPC/N/61386"
"FS0213",2,"CAR/L/1095979; WPC/N/60951(03)"
"FS0228",2,"CAR/L/1015762; WPC/N/62345"
"FS0230",2,"CAR/L/1011980; WPC/N/70289"
"FS0234",3,"CAR/L/1010002; WPC/N/70893; WPC/N/61486"
"FS0237",3,"CAR/L/1009968; WPC/N/73270; WPC/N/70151"
"FS0240",4,"CAR/L/1009970; WPC/N/72367; WPC/N/61830(01); WPC/N/61830"
"FS0241",2,"CAR/L/1003887; WPC/N/61831(01)"
"FS0242",3,"CAR/L/1003879; WPC/N/61931(03); WPC/N/61931(01)"
"FS0244",4,"CAR/L/1009962; WPC/N/73264; WPC/N/61832(02); WPC/N/61832(01)"
"FS0245",3,"CAR/L/1001806; WPC/N/61833(01); WPC/N/61833"
"FS0247",3,"CAR/L/1002889; WPC/N/70128(01); WPC/N/70128"
"FS0248",3,"CAR/L/1010433; WPC/N/61865(01); WPC/N/61865"
"FS0249",3,"CAR/L/1002887; WPC/N/70124(01); WPC/N/70124"
"FS0252",3,"CAR/L/1010432; WPC/N/61989(01); WPC/N/61989"
"FS0253",2,"CAR/L/1008861; WPC/W/30550"
"FS0261",2,"CAR/L/1008857; WPC/W/30432"
"FS0266",2,"WPC/N/70557(01); WPC/N/70577"
"FS0271",2,"CAR/L/1000237; CD8433"
"FS0292",3,"CAR/L/1004031; WPC/N/62033(03); WPC/N/62033(01)"
"FS0299",3,"CAR/L/1009031; WPC/W/22834/R1; WPC/W/22834"
"FS0304",3,"CAR/L/1001793; WPC/N/61930(02); WPC/N/61930(01)"
"FS0306",3,"CAR/L/1004076; WPC/N/62253(01); WPC/N/62253"
"FS0316",3,"CAR/L/1003056; WPC/N/71038; WPC/N/61964(01)"
"FS0333",3,"CAR/L/1015765; WPC/N/62071(02); WPC/N/62071(01)"
"FS0336",2,"CAR/L/1121785; CAR/L/1016394"
"FS0340",4,"CAR/L/1031237; CAR/L/1003068; WPC/N/71289; WPC/N/60596"
"FS0356",2,"CAR/L/1020918; WPC/W/22888/R1"
"FS0359",3,"CAR/L/1003110; WPC/N/71514; WPC/N/60957"
"FS0361",3,"CAR/L/1003109; WPC/N/71517; WPC/N/60970"
