"site_number","stock_cycle","has_streak","cycle_num","streak_group","streak_len","rem_cycle_flag"
"FS0015",8,FALSE,1,1,0,FALSE
"FS0015",9,FALSE,2,2,0,FALSE
"FS0015",10,TRUE,3,3,1,FALSE
"FS0015",11,FALSE,4,4,0,FALSE
"FS0015",12,FALSE,5,5,0,FALSE
"FS0015",13,FALSE,6,6,0,FALSE
"FS0016",9,FALSE,1,1,0,FALSE
"FS0016",10,FALSE,2,2,0,FALSE
"FS0016",11,FALSE,3,3,0,FALSE
"FS0016",12,TRUE,4,4,1,FALSE
"FS0016",13,FALSE,5,5,0,FALSE
"FS0031",6,FALSE,1,1,0,FALSE
"FS0031",7,FALSE,2,2,0,FALSE
"FS0031",8,FALSE,3,3,0,FALSE
"FS0031",9,FALSE,4,4,0,FALSE
"FS0050",10,FALSE,1,1,0,FALSE
"FS0050",11,FALSE,2,2,0,FALSE
"FS0051",3,TRUE,1,1,2,TRUE
"FS0051",4,TRUE,2,1,2,TRUE
"FS0054",10,FALSE,1,1,0,FALSE
"FS0054",11,FALSE,2,2,0,FALSE
"FS0054",12,FALSE,3,3,0,FALSE
"FS0056",6,FALSE,1,1,0,FALSE
"FS0057",3,FALSE,1,1,0,FALSE
"FS0057",4,FALSE,2,2,0,FALSE
"FS0057",5,FALSE,3,3,0,FALSE
"FS0057",6,FALSE,4,4,0,FALSE
"FS0057",7,FALSE,5,5,0,FALSE
"FS0057",8,FALSE,6,6,0,FALSE
"FS0057",9,FALSE,7,7,0,FALSE
"FS0065",6,TRUE,1,1,1,FALSE
"FS0065",7,FALSE,2,2,0,FALSE
"FS0065",8,TRUE,3,3,1,FALSE
"FS0065",9,FALSE,4,4,0,FALSE
"FS0067",8,FALSE,1,1,0,FALSE
"FS0067",9,TRUE,2,2,1,FALSE
"FS0067",10,FALSE,3,3,0,FALSE
"FS0067",11,FALSE,4,4,0,FALSE
"FS0067",12,FALSE,5,5,0,FALSE
"FS0068",7,FALSE,1,1,0,FALSE
"FS0068",8,TRUE,2,2,1,FALSE
"FS0068",9,FALSE,3,3,0,FALSE
"FS0068",10,FALSE,4,4,0,FALSE
"FS0074",8,FALSE,1,1,0,FALSE
"FS0088",10,FALSE,1,1,0,FALSE
"FS0088",11,FALSE,2,2,0,FALSE
"FS0088",12,FALSE,3,3,0,FALSE
"FS0088",13,FALSE,4,4,0,FALSE
"FS0091",9,FALSE,1,1,0,FALSE
"FS0091",10,TRUE,2,2,1,FALSE
"FS0091",11,FALSE,3,3,0,FALSE
"FS0091",12,TRUE,4,4,1,FALSE
"FS0122",9,FALSE,1,1,0,FALSE
"FS0166",6,FALSE,1,1,0,FALSE
"FS0183",7,FALSE,1,1,0,FALSE
"FS0183",8,FALSE,2,2,0,FALSE
"FS0183",9,FALSE,3,3,0,FALSE
"FS0183",10,TRUE,4,4,1,FALSE
"FS0209",7,FALSE,1,1,0,FALSE
"FS0209",8,FALSE,2,2,0,FALSE
"FS0209",9,FALSE,3,3,0,FALSE
"FS0209",10,TRUE,4,4,1,FALSE
"FS0212",8,FALSE,1,1,0,FALSE
"FS0212",9,FALSE,2,2,0,FALSE
"FS0212",10,FALSE,3,3,0,FALSE
"FS0212",11,FALSE,4,4,0,FALSE
"FS0212",12,FALSE,5,5,0,FALSE
