"site_number","n_cycles","n_rem_cycles","rem_site_flag"
"FS0015",6,0,FALSE
"FS0016",5,0,FALSE
"FS0031",4,0,FALSE
"FS0050",2,0,FALSE
"FS0051",2,2,TRUE
"FS0054",3,0,FALSE
"FS0056",1,0,FALSE
"FS0057",7,0,FALSE
"FS0065",4,0,FALSE
"FS0067",5,0,FALSE
"FS0068",4,0,FALSE
"FS0074",1,0,FALSE
"FS0088",4,0,FALSE
"FS0091",4,0,FALSE
"FS0122",1,0,FALSE
"FS0166",1,0,FALSE
"FS0183",4,0,FALSE
"FS0209",4,0,FALSE
"FS0212",5,0,FALSE
"FS0234",3,0,FALSE
"FS0237",3,0,FALSE
"FS0240",4,0,FALSE
"FS0241",3,0,FALSE
"FS0242",5,2,TRUE
"FS0244",4,0,FALSE
"FS0245",4,2,TRUE
"FS0247",5,0,FALSE
"FS0248",5,0,FALSE
"FS0249",5,0,FALSE
"FS0252",4,0,FALSE
"FS0253",5,2,TRUE
"FS0292",3,0,FALSE
"FS0299",5,0,FALSE
"FS0316",3,0,FALSE
"FS0336",6,2,TRUE
"FS0340",1,0,FALSE
"FS0359",2,0,FALSE
"FS0361",4,0,FALSE
"FS0382",6,0,FALSE
"FS0384",4,0,FALSE
"FS0390",5,0,FALSE
"FS0407",6,0,FALSE
"FS0408",4,0,FALSE
"FS0411",1,0,FALSE
"FS0413",5,0,FALSE
"FS0423",4,3,TRUE
"FS0426",1,0,FALSE
"FS0427",5,0,FALSE
"FS0430",4,0,FALSE
"FS0433",4,0,FALSE
"FS0451",6,0,FALSE
"FS0472",4,0,FALSE
"FS0477",5,0,FALSE
"FS0487",1,0,FALSE
"FS0489",4,0,FALSE
"FS0501",2,2,TRUE
"FS0502",4,0,FALSE
"FS0515",3,0,FALSE
"FS0517",3,0,FALSE
"FS0519",5,0,FALSE
"FS0531",4,0,FALSE
"FS0546",3,0,FALSE
"FS0549",4,0,FALSE
"FS0559",4,0,FALSE
"FS0567",4,0,FALSE
"FS0570",3,0,FALSE
"FS0590",4,0,FALSE
"FS0593",2,0,FALSE
"FS0594",4,0,FALSE
"FS0595",2,0,FALSE
"FS0597",6,0,FALSE
"FS0599",6,0,FALSE
"FS0602",2,0,FALSE
"FS0605",4,0,FALSE
"FS0608",4,0,FALSE
"FS0616",3,0,FALSE
"FS0617",1,0,FALSE
"FS0622",4,0,FALSE
"FS0629",5,0,FALSE
"FS0637",4,0,FALSE
"FS0645",5,0,FALSE
"FS0646",5,0,FALSE
"FS0656",6,2,TRUE
"FS0663",4,0,FALSE
"FS0666",3,0,FALSE
"FS0671",8,0,FALSE
"FS0675",1,0,FALSE
"FS0683",6,0,FALSE
"FS0694",4,0,FALSE
"FS0696",4,0,FALSE
"FS0698",4,0,FALSE
"FS0708",6,0,FALSE
"FS0709",3,0,FALSE
"FS0710",6,0,FALSE
"FS0717",5,0,FALSE
"FS0745",1,0,FALSE
"FS0749",4,0,FALSE
"FS0752",4,3,TRUE
"FS0764",4,0,FALSE
"FS0767",4,0,FALSE
"FS0796",1,0,FALSE
"FS0800",3,0,FALSE
"FS0802",1,0,FALSE
"FS0804",3,3,TRUE
"FS0805",5,0,FALSE
"FS0813",4,0,FALSE
"FS0818",4,0,FALSE
"FS0823",4,0,FALSE
"FS0839",5,2,TRUE
"FS0850",2,0,FALSE
"FS0851",4,0,FALSE
"FS0853",3,2,TRUE
"FS0858",4,2,TRUE
"FS0859",5,0,FALSE
"FS0860",4,0,FALSE
"FS0865",4,0,FALSE
"FS0871",6,0,FALSE
"FS0875",4,0,FALSE
"FS0881",1,0,FALSE
"FS0894",4,2,TRUE
"FS0903",4,0,FALSE
"FS0908",7,0,FALSE
"FS0914",4,2,TRUE
"FS0927",4,2,TRUE
"FS0933",4,2,TRUE
